0,1,2,3,4,5,6,7,8
Filename,Our Coordinates,Ticketed Spot,PCB Num,220Amp,440Amp,880Amp,1760Amp,3520Amp
kDQ00#00.bin.dat,"['00', '00']",AA00,,,,,,
kDQ00#11.bin.dat,"['00', '11']",AA11,,,,,,
kDQ01#01.bin.dat,"['01', '01']",A01,,,,,,
kDQ01#13.bin.dat,"['01', '13']",A13,,,,,,
kDQ01#14.bin.dat,"['01', '14']",A14,,,,,,
kDQ04#06.bin.dat,"['04', '06']",C06,,,,,,
kDQ04#07.bin.dat,"['04', '07']",C07,,,,,,
kDQ04#20.bin.dat,"['04', '20']",C20,,,,,,
kDQ04#21.bin.dat,"['04', '21']",C21,,,,,,
kDQ04#32.bin.dat,"['04', '32']",C32,,,,,,
kDQ04#33.bin.dat,"['04', '33']",C33,,,,,,
kDQ05#01.bin.dat,"['05', '01']",D01,,,,,,
kDQ07#01.bin.dat,"['07', '01']",F01,,,,,,
kDQ07#13.bin.dat,"['07', '13']",F13,,,,,,
kDQ07#14.bin.dat,"['07', '14']",F14,,,,,,
kDQ07#28.bin.dat,"['07', '28']",F28,,,,,,
kDQ07#29.bin.dat,"['07', '29']",F29,,,,,,
kDQ10#07.bin.dat,"['10', '07']",J07,,,,,,
kDQ10#08.bin.dat,"['10', '08']",J08,,,,,,
kDQ10#20.bin.dat,"['10', '20']",J20,,,,,,
kDQ10#21.bin.dat,"['10', '21']",J21,,,,,,
kDQ10#33.bin.dat,"['10', '33']",J33,,,,,,
kDQ13#01.bin.dat,"['13', '01']",M01,,,,,,
kDQ13#13.bin.dat,"['13', '13']",M13,,,,,,
kDQ13#14.bin.dat,"['13', '14']",M14,,,,,,
kDQ13#26.bin.dat,"['13', '26']",M26,,,,,,
kDQ13#27.bin.dat,"['13', '27']",M27,,,,,,
kDQ13#39.bin.dat,"['13', '39']",M39,,,,,,
kDQ15#37.bin.dat,"['15', '37']",O37,,,,,,
kDQ16#06.bin.dat,"['16', '06']",P06,,,,,,
kDQ16#07.bin.dat,"['16', '07']",P07,,,,,,
kDQ16#20.bin.dat,"['16', '20']",P20,,,,,,
kDQ16#21.bin.dat,"['16', '21']",P21,,,,,,
kDQ16#32.bin.dat,"['16', '32']",P32,,,,,,
kDQ16#33.bin.dat,"['16', '33']",P33,,,,,,
kDQ16#42.bin.dat,"['16', '42']",P42,,,,,,
kDQ16#43.bin.dat,"['16', '43']",P43,,,,,,
kDQ19#01.bin.dat,"['19', '01']",S01,,,,,,
kDQ19#13.bin.dat,"['19', '13']",S13,,,,,,
kDQ19#14.bin.dat,"['19', '14']",S14,,,,,,
kDQ19#26.bin.dat,"['19', '26']",S26,,,,,,
kDQ19#27.bin.dat,"['19', '27']",S27,,,,,,
kDQ19#38.bin.dat,"['19', '38']",S38,,,,,,
kDQ19#39.bin.dat,"['19', '39']",S39,,,,,,
kDQ22#07.bin.dat,"['22', '07']",V07,,,,,,
kDQ22#08.bin.dat,"['22', '08']",V08,,,,,,
kDQ22#20.bin.dat,"['22', '20']",V20,,,,,,
kDQ22#21.bin.dat,"['22', '21']",V21,,,,,,
kDQ22#32.bin.dat,"['22', '32']",V32,,,,,,
kDQ22#33.bin.dat,"['22', '33']",V33,,,,,,
kDQ22#42.bin.dat,"['22', '42']",V42,,,,,,
kDQ22#43.bin.dat,"['22', '43']",V43,,,,,,
kDQ25#01.bin.dat,"['25', '01']",WW01,,,,,,
kDQ51#24.bin.dat,"['51', '24']",A24,,,,,,
kDQ51#25.bin.dat,"['51', '25']",A25,,,,,,
kDQ51#36.bin.dat,"['51', '36']",A36,,,,,,
kDQ66#20.bin.dat,"['66', '20']",P20,,,,,,
kDQ66#21.bin.dat,"['66', '21']",P21,,,,,,
kDQ66#27.bin.dat,"['66', '27']",P27,,,,,,
kDQ66#30.bin.dat,"['66', '30']",P30,,,,,,
kDQ75#02.bin.dat,"['75', '02']",AF02,,,,,,
kDQ75#05.bin.dat,"['75', '05']",AF05,,,,,,
kDQ75#06.bin.dat,"['75', '06']",AF06,,,,,,
kDQ78#03.bin.dat,"['78', '03']",AJ03,,,,,,
kDQ78#07.bin.dat,"['78', '07']",AJ07,,,,,,
kDQ78#08.bin.dat,"['78', '08']",AJ08,,,,,,
kDQ78#12.bin.dat,"['78', '12']",AJ12,,,,,,
kDQ00#00.bin.dat,"['00', '00']",AA00,,,,,,
kDQ00#11.bin.dat,"['00', '11']",AA11,,,,,,
kDQ01#01.bin.dat,"['01', '01']",A01,,,,,,
kDQ01#13.bin.dat,"['01', '13']",A13,,,,,,
kDQ01#14.bin.dat,"['01', '14']",A14,,,,,,
kDQ04#06.bin.dat,"['04', '06']",C06,,,,,,
kDQ04#07.bin.dat,"['04', '07']",C07,,,,,,
kDQ04#20.bin.dat,"['04', '20']",C20,,,,,,
kDQ04#21.bin.dat,"['04', '21']",C21,,,,,,
kDQ04#32.bin.dat,"['04', '32']",C32,,,,,,
kDQ04#33.bin.dat,"['04', '33']",C33,,,,,,
kDQ05#01.bin.dat,"['05', '01']",D01,,,,,,
kDQ07#01.bin.dat,"['07', '01']",F01,,,,,,
kDQ07#13.bin.dat,"['07', '13']",F13,,,,,,
kDQ07#14.bin.dat,"['07', '14']",F14,,,,,,
kDQ07#28.bin.dat,"['07', '28']",F28,,,,,,
kDQ07#29.bin.dat,"['07', '29']",F29,,,,,,
kDQ10#07.bin.dat,"['10', '07']",J07,,,,,,
kDQ10#08.bin.dat,"['10', '08']",J08,,,,,,
kDQ10#20.bin.dat,"['10', '20']",J20,,,,,,
kDQ10#21.bin.dat,"['10', '21']",J21,,,,,,
kDQ10#33.bin.dat,"['10', '33']",J33,,,,,,
kDQ13#01.bin.dat,"['13', '01']",M01,,,,,,
kDQ13#13.bin.dat,"['13', '13']",M13,,,,,,
kDQ13#14.bin.dat,"['13', '14']",M14,,,,,,
kDQ13#26.bin.dat,"['13', '26']",M26,,,,,,
kDQ13#27.bin.dat,"['13', '27']",M27,,,,,,
kDQ13#39.bin.dat,"['13', '39']",M39,,,,,,
kDQ15#37.bin.dat,"['15', '37']",O37,,,,,,
kDQ16#06.bin.dat,"['16', '06']",P06,,,,,,
kDQ16#07.bin.dat,"['16', '07']",P07,,,,,,
kDQ16#20.bin.dat,"['16', '20']",P20,,,,,,
kDQ16#21.bin.dat,"['16', '21']",P21,,,,,,
kDQ16#32.bin.dat,"['16', '32']",P32,,,,,,
kDQ16#33.bin.dat,"['16', '33']",P33,,,,,,
kDQ16#42.bin.dat,"['16', '42']",P42,,,,,,
kDQ16#43.bin.dat,"['16', '43']",P43,,,,,,
kDQ19#01.bin.dat,"['19', '01']",S01,,,,,,
kDQ19#13.bin.dat,"['19', '13']",S13,,,,,,
kDQ19#14.bin.dat,"['19', '14']",S14,,,,,,
kDQ19#26.bin.dat,"['19', '26']",S26,,,,,,
kDQ19#27.bin.dat,"['19', '27']",S27,,,,,,
kDQ19#38.bin.dat,"['19', '38']",S38,,,,,,
kDQ19#39.bin.dat,"['19', '39']",S39,,,,,,
kDQ22#07.bin.dat,"['22', '07']",V07,,,,,,
kDQ22#08.bin.dat,"['22', '08']",V08,,,,,,
kDQ22#20.bin.dat,"['22', '20']",V20,,,,,,
kDQ22#21.bin.dat,"['22', '21']",V21,,,,,,
kDQ22#32.bin.dat,"['22', '32']",V32,,,,,,
kDQ22#33.bin.dat,"['22', '33']",V33,,,,,,
kDQ22#42.bin.dat,"['22', '42']",V42,,,,,,
kDQ22#43.bin.dat,"['22', '43']",V43,,,,,,
kDQ25#01.bin.dat,"['25', '01']",WW01,,,,,,
kDQ51#24.bin.dat,"['51', '24']",A24,,,,,,
kDQ51#25.bin.dat,"['51', '25']",A25,,,,,,
kDQ51#36.bin.dat,"['51', '36']",A36,,,,,,
kDQ66#20.bin.dat,"['66', '20']",P20,,,,,,
kDQ66#21.bin.dat,"['66', '21']",P21,,,,,,
kDQ66#27.bin.dat,"['66', '27']",P27,,,,,,
kDQ66#30.bin.dat,"['66', '30']",P30,,,,,,
kDQ75#02.bin.dat,"['75', '02']",AF02,,,,,,
kDQ75#05.bin.dat,"['75', '05']",AF05,,,,,,
kDQ75#06.bin.dat,"['75', '06']",AF06,,,,,,
kDQ78#03.bin.dat,"['78', '03']",AJ03,,,,,,
kDQ78#07.bin.dat,"['78', '07']",AJ07,,,,,,
kDQ78#08.bin.dat,"['78', '08']",AJ08,,,,,,
kDQ78#12.bin.dat,"['78', '12']",AJ12,,,,,,